user_location;lat;lon
Aguilafuente y Alcorcón;39,78373;-100,445882;
Aguilar de Campoo, España;39,78373;-100,445882;
Águilas, Región de Murcia;37,409963;-1,580492;
Ahí mismo;39,78373;-100,445882;
Ahora mismo en tu pantalla.;39,78373;-100,445882;
Aia, Euskal Herria;42,966429;-2,154591;
Ainzón y Borja;41,813467;-1,520301;
Air Temple ?;39,78373;-100,445882;
Al Este y extrañando el Sur;39,78373;-100,445882;
Al final del infinito ;39,78373;-100,445882;
Al norte del sur...con música.;39,78373;-100,445882;
Al oeste del sol;39,78373;-100,445882;
Al otro lado del mar Angosto ;39,78373;-100,445882;
Al Sur;31,9;35,716667;
Al SUR del GBA;39,78373;-100,445882;
al sur del sur;39,78373;-100,445882;
Al Sur.;31,9;35,716667;
Al SW mas SW de Galicia;39,78373;-100,445882;
Alacant;38,375649;-0,531437;
alacant - spain;38,375649;-0,531437;
Alacant,Orihuela,Murcia(Spain);39,78373;-100,445882;
Alaejos, España;41,307406;-5,216034;
Alajeró, Islas Canarias;28,061992;-17,238367;
Alajuela - Costa Rica;10,691676;-84,756132;
Álava - Araba;42,817536;-2,835944;
Alava - Euskadi;42,84444;-2,682096;
Álava, País Vasco, España ;39,78373;-100,445882;
Alba in the hell;39,78373;-100,445882;
Albacete;38,995105;-1,855961;
Albacete - Murcia;38,995105;-1,855961;
Albacete (España);38,995105;-1,855961;
Albacete ~ España;38,995105;-1,855961;
ALBACETE- Spain;38,995105;-1,855961;
Albacete, Castilla-La Mancha;38,995105;-1,855961;
Albacete, España;38,995105;-1,855961;
Albacete,Spain;38,995105;-1,855961;
Albacete.;38,995105;-1,855961;
Albalate del Arzobispo, Aragón;39,78373;-100,445882;
Albalate del Arzobispo, España;39,78373;-100,445882;
Alboraya, España;39,500995;-0,34948;
Albuquerque;35,084103;-106,650985;
Alburquerque;39,219017;-6,999929;
alc;55,953953;-3,199893;
Alcalá de Guadaira;37,339771;-5,84084;
Alcalá de Guadaíra, España;37,339771;-5,84084;
Alcalá de Guadaíra. Sevilla ;37,339771;-5,84084;
Alcalá de Henares;40,48184;-3,364497;
Alcalá de Henares (Madrid);40,48184;-3,364497;
Alcalá de Henares , Madrid;40,48184;-3,364497;
ALCALA DE HENARES / EL MEDANO;-3,05;-79,666667;
Alcalá de Henares Madrid;40,48184;-3,364497;
Alcalá de Henares, España;39,78373;-100,445882;
Alcalá de Henares, Madrid;40,48184;-3,364497;
Alcalá la Real (Jaén, Spain);37,461966;-3,92239;
Alcantarilla (Murcia);37,967475;-1,214985;
Alcantarilla, España;37,967475;-1,214985;
Alcàsser - València;39,367712;-0,444674;
Alcazar de San Juan;39,389981;-3,210138;
Alcázar de San Juan;39,389981;-3,210138;
Alcázar de San Juan ;39,389981;-3,210138;
Alcázar de San Juan, España;39,389981;-3,210138;
alcobendas;40,540008;-3,635849;
ALCOBENDAS ;40,540008;-3,635849;
Alcobendas  (Madrid);40,540008;-3,635849;
Alcobendas - Madrid;40,540008;-3,635849;
Alcobendas (Madrid);40,540008;-3,635849;
Alcobendas / Madrid;40,540008;-3,635849;
Alcobendas-(Madrid).;40,540008;-3,635849;
Alcobendas, España;39,78373;-100,445882;
Alcobendas, Madrid;40,540008;-3,635849;
ALCOBENDAS,(MADRID);40,540008;-3,635849;
Alcobendas/Madrid;40,540008;-3,635849;
ALCOI (ALACANT);38,681544;-0,528874;
Alcoi, Espanya;38,681544;-0,528874;
Alcora;40,074422;-0,213859;
Alcorcon;40,346762;-3,828632;
alcorcón;40,346762;-3,828632;
Alcorcon - España;40,346762;-3,828632;
Alcorcón - Madrid;40,346762;-3,828632;
Alcorcón (Madrid);40,346762;-3,828632;
Alcorcón, Comunidad de Madrid;40,346762;-3,828632;
Alcorcón, España;40,346762;-3,828632;
Alcorcón, España ;39,78373;-100,445882;
Alcorcón, Madrid;40,346762;-3,828632;
Alcorcón.Madrid;40,346762;-3,828632;
AlcorcónBarrio;39,78373;-100,445882;
Alcover, República d Catalunya;39,78373;-100,445882;
Alcoy;38,700524;-0,479265;
Alcoy, España;38,700524;-0,479265;
Aldea de San Nicolás;27,985389;-15,781717;
Aldeanueva de Ebro.;42,229347;-1,888086;
Alès, Francia;44,125367;4,085282;
Alfafar, España;39,78373;-100,445882;
Algeciras;36,13108;-5,448705;
Algeciras (Cádiz);36,13108;-5,448705;
Algeciras, España;39,78373;-100,445882;
Algete;40,596165;-3,497425;
Alginet, Valencia España ;39,265113;-0,471691;
ALGUAZAS-MAZARRÓN/ MURCIA ;39,78373;-100,445882;
Algún lugar da costa da morte;39,78373;-100,445882;
Algún sitio ;39,78373;-100,445882;
alguna morgue de nueva york;39,78373;-100,445882;
Alhaurín de la Torre;36,662699;-4,56263;
Alhaurín de la Torre, Andalucí;39,78373;-100,445882;
Alicante;38,375649;-0,531437;
Alicante ?;38,375649;-0,531437;
Alicante -España;38,375649;-0,531437;
Alicante y Mota del Cuervo;39,78373;-100,445882;
Alicante(Spain);38,375649;-0,531437;
Alicante, Comunidad Valenciana;38,375649;-0,531437;
Alicante, España;38,375649;-0,531437;
Alicante, Spain;38,375649;-0,531437;
Alicante, Spain.;38,375649;-0,531437;
Alicante, venecia;38,965241;-0,174445;
Alicante. Spain.;38,375649;-0,531437;
Alicante/España;39,78373;-100,445882;
All around the world;39,78373;-100,445882;
All around the world ;39,78373;-100,445882;
All the way in Battery City ??;39,78373;-100,445882;
Allí donde den subvenciones ;39,78373;-100,445882;
Allí donde esté.;39,78373;-100,445882;
Almansa, Castilla-La Mancha;38,868207;-1,097863;
Almansa, España;38,868207;-1,097863;
Almàssera, España;39,78373;-100,445882;
Almassora;39,943574;-0,063478;
Almedinilla;37,440526;-4,096143;
Almenara, España;39,78373;-100,445882;
Almendral, España;38,614117;-6,820889;
Almendralejo;38,684679;-6,40678;
Almendricos-Lorca-Murcia;37,471772;-1,776671;
Almensilla;37,310001;-6,113052;
Almeria;36,84142;-2,462813;
Almería;36,84142;-2,462813;
Almería ;36,84142;-2,462813;
Almería (Andalucía);36,84142;-2,462813;
Almería, Andalucía;36,84142;-2,462813;
Almería, Andalucía, España;39,78373;-100,445882;
Almería, España;36,84142;-2,462813;
Almería, Holanda;51,945045;4,558245;
Almoradi ( Alicante );38,109654;-0,791926;
almuñecar;36,73287;-3,68968;
Alosno (Huelva);37,549672;-7,115795;
Alovera. España;40,596539;-3,248583;
Alovera/Ciudad Pegaso.;39,78373;-100,445882;
ALOZAINA (MALAGA );36,727893;-4,856475;
Alpha Centauri;50,606271;-116,531821;
Alpicat;41,665119;0,556066;
alswingdedos@gmail.com ;39,78373;-100,445882;
Alt Maresme+Barcelona+España;41,541429;2,444845;
altafulla;39,78373;-100,445882;
Altsasu (Nafarroa) ;42,894967;-2,16851;
Altzaga, Euskal Herria. ;43,064557;-2,154313;
Aluche, Madrid;39,78373;-100,445882;
Alzira;36,775348;3,060066;
Amatepec, México;18,699278;-100,280528;
América | Europe;51,436837;5,983634;
América Latina y España;42,859266;-2,682414;
America, Europe...;51,436837;5,983634;
Ames, Galicia;42,890679;-8,672263;
Amplia red de laboratorios.;39,78373;-100,445882;
anabel;32,293208;-92,250973;
Andalucia;37,339996;-4,581161;
Andalucía;37,339996;-4,581161;
Andalucía ;39,78373;-100,445882;
Andalucía (España);37,339996;-4,581161;
Andalucía (España) ;39,78373;-100,445882;
Andalucía · España;37,339996;-4,581161;
Andalucía Oriental, España;43,36;-3,214926;
Andalucía, Bretagne, Vosges ?;39,78373;-100,445882;
Andalucia, España;37,339996;-4,581161;
Andalucía, España;37,339996;-4,581161;
Andalucía, Roquetas de Mar;36,764206;-2,623206;
Andalucía. Dónde mejor?;39,78373;-100,445882;
Andalusia;37,339996;-4,581161;
Andén ?¾ HOGWARTS;39,78373;-100,445882;
Andén 9¾;58,399326;13,244985;
Andorra;42,540717;1,573203;
Andújar, Jaén / Granada;39,78373;-100,445882;
Ankh-Morpork;39,78373;-100,445882;
Anor Londo;39,78373;-100,445882;
Antequera, Andalucía, España;37,018365;-4,559665;
Antequera, España;39,78373;-100,445882;
Antimio de Arriba, España;42,514573;-5,645785;
Antofagasta, Chile;-23,646374;-70,398003;
Antonio Flores 4, 28004 Madrid;39,78373;-100,445882;
Anywhere;51,16312;-2,992762;
Apdo. de Correos 500, Madrid.;39,78373;-100,445882;
Aquí;39,78373;-100,445882;
Aquí ;53,560981;9,965555;
aquí y ahora;39,78373;-100,445882;
Aquí y ahora...A ratos en Lega;39,78373;-100,445882;
Aquí y Allá;39,78373;-100,445882;
aquí y allá...;39,78373;-100,445882;
Aquí, ¿Dónde?, Aquí.;39,78373;-100,445882;
AQUÍ. (  SIC  )  ¿  Sí  ?;39,78373;-100,445882;
Aquisgrán, Renania del Norte-W;39,78373;-100,445882;
Araba/Álava, País Vasco;42,84444;-2,682096;
Araba-Álava;42,84444;-2,682096;
Aracena, España;37,894941;-6,56245;
Aragón;41,378729;-0,763937;
Aragón (Spain);41,378729;-0,763937;
Aragón, España;41,378729;-0,763937;
Aragua, Venezuela;10;-67,166667;
Aragua, Venezuela ;10;-67,166667;
Aranda de Duero;41,671448;-3,685143;
ARANDA DE DUERO ;41,671448;-3,685143;
Aranda de Duero, España;41,671448;-3,685143;
Aranjuez;40,032235;-3,603968;
Aranjuez (Madrid);40,032235;-3,603968;
Aranjuez y Pontevedra;39,78373;-100,445882;
Aranjuez, España;39,78373;-100,445882;
Aranjuez, Madrid;40,032235;-3,603968;
Arbejales,Teror;28,044864;-15,554307;
Arcadia Bay | Spain;39,78373;-100,445882;
Archena (Murcia);38,11431;-1,298908;
Archena, Murcia.;38,11431;-1,298908;
Archena, Región de Murcia;38,11431;-1,298908;
Archena-Murcia-España;38,11431;-1,298908;
Arcos de la Frontera, Cadiz;36,748648;-5,806047;
Arcos de la Frontera, España;36,748648;-5,806047;
Arenas City. Ciudad Real.;39,78373;-100,445882;
Arenas de San Juan - Cuenca ;39,78373;-100,445882;
Ares, España;43,42642;-8,244344;
Ares,A Coruña;43,42642;-8,244344;
Arg ;30,646354;-7,449474;
Argamasilla de Calatrava;38,727295;-4,07937;
Arganda del Rey, España;40,300771;-3,438069;
Arganda del Rey, Madrid, Spain;40,300771;-3,438069;
Arganda, Madrid;40,310568;-3,506179;
Arganda. Madrid. Spain;40,310568;-3,506179;
Argentina;-35,112487;-65,241974;
Argentina ;-35,112487;-65,241974;
Argentina, Tucuman;-26,229952;-65,279768;
Argentina,Buenos Aires;-34,6669;-58,558307;
Arguineguín ;27,759075;-15,68135;
Ari;42,29234;14,263011;
Arica, Chile;-18,478424;-70,321163;
Armilla, España;37,143455;-3,626828;
Arnedo - Bergasa (La Rioja);42,245314;-2,15308;
Arnedo, España;39,78373;-100,445882;
Arnedo, La Rioja.;42,22734;-2,09957;
Arona, España;39,78373;-100,445882;
arranquilla;39,78373;-100,445882;
Arrecife, España;28,959425;-13,546882;
Arroyo de san servan;38,856909;-6,454731;
Arroyo de San Servan ;38,856909;-6,454731;
Arroyo de San Serván, Badajoz ;38,856909;-6,454731;
Arroyomolinos (Madrid);40,272923;-3,915798;
Arroyomolinos, España;39,78373;-100,445882;
Arroyomolinos, Madrid;40,272923;-3,915798;
Arroyomolinos, Madrid.;40,272923;-3,915798;
Arstotzka;39,78373;-100,445882;
Artà(Mallorca);33,635241;-117,646;
Arteixo, Coruña;39,78373;-100,445882;
Arucas;28,118449;-15,523224;
Arzúa;42,928025;-8,160584;
Arzúa, Galiza ;42,928025;-8,160584;
as maravillas. cartelle.;39,78373;-100,445882;
Asamblea de Extremadura;38,917378;-6,347706;
Aspe (Alicante);38,34599;-0,769212;
Aspe, Alicante, España.;39,78373;-100,445882;
Aspe, Alicante.;38,34599;-0,769212;
Associació catalana sxfràgil;39,78373;-100,445882;
astorga, leon;42,455356;-6,052902;
Asturiano en Barcelona;39,78373;-100,445882;
Asturias;43,271563;-5,853946;
asturias ;43,271563;-5,853946;
Asturias - España;43,271563;-5,853946;
Asturias - Pamplona;39,78373;-100,445882;
Asturias (Tierra);38,861623;-6,988655;
Asturias · Spain;39,78373;-100,445882;
Asturias patria querida ;39,78373;-100,445882;
Asturias, España;43,271563;-5,853946;
Asturias, Principado de Asturi;39,78373;-100,445882;
Asturias, Principado de Asturias;43,517846;-5,887765;
Asturias, Spain;43,271563;-5,853946;
Asturias: Turón/Oviedo/Grandas;39,78373;-100,445882;
asunción- paraguay;-25,295992;-57,63112;
Asuncion, Paraguay;-25,295992;-57,63112;
Atlántida;15,816774;-87,114736;
ATLETI. Torres eterno 9. ;39,78373;-100,445882;
Atletico de Madrid ;40,401743;-3,721551;
Atlético de Madrid-FA;39,78373;-100,445882;
atleticodemadrid;39,78373;-100,445882;
ATM;39,78373;-100,445882;
Atxabalta;39,78373;-100,445882;
Augsburg;48,366804;10,898697;
Aupa Atleti.;39,78373;-100,445882;
Australia - 2 M ;27,985709;-15,399399;
Autol, La Rioja.;42,213029;-2,005838;
Autopista regional del Centro;10,275908;-67,756626;
Av. El Polo 641, Surco, Lima;-12,103761;-76,97263;
Av. Pagés Llergo No.116 ;40,408782;-3,648621;
Avd Reyes Catolicos 5;28,46017;-16,26381;
Avd. Juan Carlos I 1 (post.);27,991262;-15,497051;
Avd.Navarro Reverter 6-5C;39,78373;-100,445882;
Avda. del Cid Campeador 23;41,769391;-2,482187;
Avda.Rafaela Ybarra 75, Madrid;40,378;-3,712067;
Avenida de la Plata 34;25,900004;-97,476989;
Aventura C95 stopbullying;39,78373;-100,445882;
Avila;39,78373;-100,445882;
Ávila;39,78373;-100,445882;
AVILA Castilla y León, España;40,656478;-4,700217;
Ávila, Castilla y León;40,656478;-4,700217;
Ávila, España;39,78373;-100,445882;
Ávila, España.;40,656478;-4,700217;
Avilés;39,78373;-100,445882;
AVILES - ASTURIAS (ESPAÑA) ;43,555829;-5,921961;
Avilés, Asturias.;43,555829;-5,921961;
Avilés, Principado de Asturias;43,555829;-5,921961;
Awinor~Graceland ;39,78373;-100,445882;
ayyy lmao;39,78373;-100,445882;
AZ;40,163667;47,820743;
Azogues, Ecuador;-2,741153;-78,846396;
Azpeitia;39,78373;-100,445882;
Azuaga- Córdoba;38,212862;-5,624272;
AZUQUECA;39,78373;-100,445882;
azuqueca de henares;40,568426;-3,262158;
Azuqueca de Henares, España;40,568426;-3,262158;
B.C.;39,110461;-84,502076;
B-612;57,775778;12,021401;
BA-Argentina;-36,380504;-60,388887;
Babia;19,352145;-99,143632;
Badajoz;38,878206;-6,970157;
Badajoz - Extremadura;38,878206;-6,970157;
Badajoz, España;38,878206;-6,970157;
Badajoz, España.;38,878206;-6,970157;
Badajoz, Extremadura;38,878206;-6,970157;
Badajoz, Extremadura España.;39,78373;-100,445882;
Badalona;41,449354;2,248254;
Badalona (Barcelona) Spain;41,449354;2,248254;
Badalona, España;41,449354;2,248254;
Badalona,Apartado correos 2066;39,78373;-100,445882;
Badalona,Barcelona,España;39,78373;-100,445882;
Badia del Vallès, España;41,507741;2,114655;
Baeza - Murcia;38,45562;-1,968793;
Bahía Blanca, Argentina;39,78373;-100,445882;
Bailadores  Merida Venezuela;8,25048;-71,828518;
Bailén, España;38,096787;-3,77656;
Baiona;43,493338;-1,475099;
Bajo el mismo cielo.;39,78373;-100,445882;
Bajo la lluvia;41,622935;-0,927816;
Balcarce - Argentina;-31,433592;-64,221679;
Baldiri Reixac, 4-12, BCN;41,381623;2,115233;
baleares;39,613402;2,880431;
Baleares, Islas Baleares;39,613402;2,880431;
Balears;39,78373;-100,445882;
Balears, Illes;39,78373;-100,445882;
Baltimore, MD;39,290861;-76,610807;
Banania;39,78373;-100,445882;
BANDA DEL RIO,PEDROSA 26;39,78373;-100,445882;
Bangerz & Stars Dance Tour;39,78373;-100,445882;
Banquillo , Camp Nou ;39,78373;-100,445882;
Baños de la Encina-La Carolina;39,78373;-100,445882;
Baracaldo-España;43,297156;-2,98604;
Baracaldo-Vizcaya-España;43,297156;-2,98604;
Barajas, Madrid;40,47984;-3,576723;
barakaldo;43,297156;-2,98604;
Barakaldo, Bizkaia;43,297156;-2,98604;
Barakaldo, España;43,297156;-2,98604;
Barakaldo. C/ Elkano, 1 bis ;39,78373;-100,445882;
Barañain;39,78373;-100,445882;
Barañáin, Navarra;39,78373;-100,445882;
Barbaño-Montijo;38,874709;-6,587248;
Barberá del Vallés.;41,517253;2,126594;
Barcelona;41,38256;2,177135;
Barcelona ;41,38256;2,177135;
Barcelona -  Páramo del Sil;39,78373;-100,445882;
Barcelona - Cartagena - El mar;37,630999;-1,197685;
Barcelona - Catalunya - España;41,38256;2,177135;
Barcelona - Edinburgh;39,78373;-100,445882;
Barcelona - España;41,38256;2,177135;
Barcelona - Madrid;38,027927;-3,100411;
Barcelona - Madrid - España;38,027927;-3,100411;
Barcelona - Ourense;39,78373;-100,445882;
Barcelona - Pamplona - Sevilla;39,78373;-100,445882;
Barcelona (aprop);39,78373;-100,445882;
Barcelona (Catalunya) ||?||;41,38256;2,177135;
Barcelona (España);41,38256;2,177135;
Barcelona (Spain);41,38256;2,177135;
Barcelona , SPAIN;41,38256;2,177135;
Barcelona / Spain;41,38256;2,177135;
Barcelona :);41,38256;2,177135;
Barcelona | Girona | Online;39,78373;-100,445882;
Barcelona | Spain | Europe;41,38256;2,177135;
Barcelona + Sto. Domingo;39,78373;-100,445882;
Barcelona · Tel. 93 567 43 80;39,78373;-100,445882;
Barcelona- Catalunya- España;41,38256;2,177135;
Barcelona España;41,38256;2,177135;
Barcelona- España;41,38256;2,177135;
Barcelona Sta Coloma Gramenet;41,41133;2,192417;
Barcelona y Granollers;41,589993;2,260356;
Barcelona*Spain*;39,78373;-100,445882;
Barcelona, ;41,38256;2,177135;
Barcelona, Catalonia;41,38256;2,177135;
Barcelona, Catalonia, EU;39,78373;-100,445882;
Barcelona, Catalonia. Spain;41,38256;2,177135;
Barcelona, Catalunya;41,38256;2,177135;
Barcelona, Catalunya (España);39,78373;-100,445882;
Barcelona, Catalunya, España;41,38256;2,177135;
Barcelona, Cataluña;41,38256;2,177135;
Barcelona, Cataluña, España;41,38256;2,177135;
Barcelona, Espanya;41,38256;2,177135;
Barcelona, España;41,38256;2,177135;
Barcelona, nací en Valladolid.;39,78373;-100,445882;
Barcelona, Spain;41,38256;2,177135;
Barcelona, Spain ;41,38256;2,177135;
Barcelona.;41,38256;2,177135;
Barcelona. Catalunya;41,38256;2,177135;
Barcelona. España.;41,38256;2,177135;
BARCELONA/ESPAÑA;41,38256;2,177135;
